قائمة العمليات (تم التحديث):
-------------------------------------------------------------------
الرقم 		|		 اسم العملية 		|		 PID 		|		 المسار 		|		 المستخدم 		|		 الحالة 		|		 الذاكرة 		|		 استخدام المعالج
-------------------------------------------------------------------
1 	 Secure System 	 56 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 22.52 MB 	 0%
160 	 svchost.exe 	 10384 	C:\WINDOWS\system32\svchost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 8.26 MB 	 0%
161 	 svchost.exe 	 9564 	C:\WINDOWS\system32\svchost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 38.88 MB 	 0%
162 	 igfxEM.exe 	 3672 	C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_14ddcd953a744ac8\igfxEM.exe 	 STAKYWS\Smart 	قيد التشغيل 	 12.7 MB 	 0%
163 	 taskhostw.exe 	 11672 	C:\WINDOWS\system32\taskhostw.exe 	 STAKYWS\Smart 	قيد التشغيل 	 17.82 MB 	 0%
164 	 PowerMgr.exe 	 3576 	C:\WINDOWS\SysWOW64\Lenovo\PowerMgr\PowerMgr.exe 	 STAKYWS\Smart 	قيد التشغيل 	 5.47 MB 	 0.13%
165 	 oCamTask.exe 	 11248 	C:\Program Files (x86)\oCam\oCamTask.exe 	 STAKYWS\Smart 	قيد التشغيل 	 3.32 MB 	 0%
166 	 explorer.exe 	 16712 	C:\WINDOWS\Explorer.EXE 	 STAKYWS\Smart 	قيد التشغيل 	 228.78 MB 	 5.99%
167 	 svchost.exe 	 6476 	C:\WINDOWS\system32\svchost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 30.88 MB 	 0%
168 	 RuntimeBroker.exe 	 4004 	C:\Windows\System32\RuntimeBroker.exe 	 STAKYWS\Smart 	قيد التشغيل 	 25.74 MB 	 0%
169 	 ctfmon.exe 	 1176 	C:\WINDOWS\system32\ctfmon.exe 	 STAKYWS\Smart 	قيد التشغيل 	 60.93 MB 	 0%
170 	 SearchApp.exe 	 15012 	C:\WINDOWS\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe 	 STAKYWS\Smart 	قيد التشغيل 	 106.1 MB 	 0%
171 	 RuntimeBroker.exe 	 9152 	C:\Windows\System32\RuntimeBroker.exe 	 STAKYWS\Smart 	قيد التشغيل 	 33.09 MB 	 0.13%
172 	 TextInputHost.exe 	 4140 	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 48.68 MB 	 0%
173 	 igfxext.exe 	 12336 	C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_14ddcd953a744ac8\igfxext.exe 	 STAKYWS\Smart 	قيد التشغيل 	 9.14 MB 	 0%
174 	 RuntimeBroker.exe 	 5604 	C:\Windows\System32\RuntimeBroker.exe 	 STAKYWS\Smart 	قيد التشغيل 	 16.95 MB 	 0%
175 	 SecurityHealthSystray.exe 	 15880 	C:\Windows\System32\SecurityHealthSystray.exe 	 STAKYWS\Smart 	قيد التشغيل 	 8.76 MB 	 0%
176 	 OpenVPNConnect.exe 	 2012 	C:\Program Files\OpenVPN Connect\OpenVPNConnect.exe 	 STAKYWS\Smart 	قيد التشغيل 	 70.89 MB 	 0.65%
177 	 msedge.exe 	 16520 	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe 	 STAKYWS\Smart 	قيد التشغيل 	 93.83 MB 	 0%
178 	 OpenVPNConnect.exe 	 16780 	C:\Program Files\OpenVPN Connect\OpenVPNConnect.exe 	 STAKYWS\Smart 	قيد التشغيل 	 56.69 MB 	 0%
179 	 msedge.exe 	 3924 	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe 	 STAKYWS\Smart 	قيد التشغيل 	 7.31 MB 	 0%
180 	 msedge.exe 	 12588 	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe 	 STAKYWS\Smart 	قيد التشغيل 	 32 MB 	 0%
181 	 msedge.exe 	 10660 	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe 	 STAKYWS\Smart 	قيد التشغيل 	 27.95 MB 	 0%
182 	 msedge.exe 	 4992 	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe 	 STAKYWS\Smart 	قيد التشغيل 	 15.98 MB 	 0%
183 	 SystemSettings.exe 	 13844 	C:\Windows\ImmersiveControlPanel\SystemSettings.exe 	 STAKYWS\Smart 	متوقفة مؤقتًا 	 1.48 MB 	 0%
184 	 RAVBg64.exe 	 5904 	C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe 	 STAKYWS\Smart 	قيد التشغيل 	 3.75 MB 	 0%
185 	 CalculatorApp.exe 	 6948 	C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2405.2.0_x64__8wekyb3d8bbwe\CalculatorApp.exe 	 STAKYWS\Smart 	متوقفة مؤقتًا 	 1.5 MB 	 0%
186 	 RuntimeBroker.exe 	 12756 	C:\Windows\System32\RuntimeBroker.exe 	 STAKYWS\Smart 	قيد التشغيل 	 6.6 MB 	 0%
187 	 svchost.exe 	 8196 	C:\WINDOWS\system32\svchost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 12.04 MB 	 0%
188 	 LockApp.exe 	 15788 	C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe 	 STAKYWS\Smart 	قيد التشغيل 	 52.14 MB 	 0%
189 	 RuntimeBroker.exe 	 536 	C:\Windows\System32\RuntimeBroker.exe 	 STAKYWS\Smart 	قيد التشغيل 	 37.25 MB 	 0%
190 	 WUDFHost.exe 	 13076 	C:\Windows\System32\WUDFHost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 10.04 MB 	 0%
191 	 OpenVPNConnect.exe 	 10476 	C:\Program Files\OpenVPN Connect\OpenVPNConnect.exe 	 STAKYWS\Smart 	قيد التشغيل 	 65.17 MB 	 0%
192 	 PRTG Server.exe 	 11884 	C:\Program Files (x86)\PRTG Network Monitor\64 bit\PRTG Server.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 61.84 MB 	 0.13%
193 	 ShellExperienceHost.exe 	 11292 	C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 71.76 MB 	 0%
194 	 RuntimeBroker.exe 	 10096 	C:\Windows\System32\RuntimeBroker.exe 	 STAKYWS\Smart 	قيد التشغيل 	 35.78 MB 	 0%
195 	 svchost.exe 	 12700 	C:\WINDOWS\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 11.16 MB 	 0%
196 	 svchost.exe 	 4636 	C:\WINDOWS\system32\svchost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 9.17 MB 	 0%
197 	 SystemSettingsBroker.exe 	 10964 	C:\Windows\System32\SystemSettingsBroker.exe 	 STAKYWS\Smart 	قيد التشغيل 	 31.73 MB 	 0%
198 	 chrome.exe 	 11468 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 158.89 MB 	 0.52%
199 	 chrome.exe 	 13424 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 9.03 MB 	 0%
200 	 chrome.exe 	 10436 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 63.57 MB 	 0.13%
201 	 chrome.exe 	 2528 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 44.55 MB 	 0.26%
202 	 chrome.exe 	 14880 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 17.67 MB 	 0%
203 	 chrome.exe 	 15828 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 0 MB 	 0%
204 	 chrome.exe 	 15828 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 355.87 MB 	 0%
205 	 chrome.exe 	 16716 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 0 MB 	 0%
206 	 chrome.exe 	 16716 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 21.3 MB 	 0%
207 	 chrome.exe 	 16632 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 0 MB 	 0%
208 	 chrome.exe 	 16632 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 26.83 MB 	 0%
209 	 rundll32.exe 	 17268 	C:\WINDOWS\system32\rundll32.exe 	 STAKYWS\Smart 	قيد التشغيل 	 8.68 MB 	 0%
210 	 svchost.exe 	 4700 	C:\WINDOWS\System32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 6.59 MB 	 0%
211 	 chrome.exe 	 13212 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 0 MB 	 0%
212 	 chrome.exe 	 13212 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 59.39 MB 	 0%
213 	 taskhostw.exe 	 18272 	C:\WINDOWS\system32\taskhostw.exe 	 STAKYWS\Smart 	قيد التشغيل 	 7.44 MB 	 0%
214 	 chrome.exe 	 9672 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 42.01 MB 	 0%
215 	 chrome.exe 	 220 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 22.41 MB 	 0%
216 	 chrome.exe 	 17180 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 64.07 MB 	 0%
217 	 chrome.exe 	 2832 	C:\Program Files\Google\Chrome\Application\chrome.exe 	 STAKYWS\Smart 	قيد التشغيل 	 74.58 MB 	 0%
218 	 svchost.exe 	 5408 	C:\WINDOWS\System32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 6.61 MB 	 0%
219 	 devenv.exe 	 384 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\IDE\devenv.exe 	 STAKYWS\Smart 	قيد التشغيل 	 742.47 MB 	 0.65%
220 	 PerfWatson2.exe 	 520 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\IDE\PerfWatson2.exe 	 STAKYWS\Smart 	قيد التشغيل 	 62.87 MB 	 0%
221 	 taskhostw.exe 	 15560 	C:\WINDOWS\system32\taskhostw.exe 	 STAKYWS\Smart 	قيد التشغيل 	 16.06 MB 	 0%
222 	 Microsoft.ServiceHub.Controller.exe 	 2808 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\ServiceHub\controller\Microsoft.ServiceHub.Controller.exe 	 STAKYWS\Smart 	قيد التشغيل 	 58.46 MB 	 0%
223 	 ServiceHub.ThreadedWaitDialog.exe 	 10376 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.ThreadedWaitDialog.exe 	 STAKYWS\Smart 	قيد التشغيل 	 90.8 MB 	 0%
224 	 ServiceHub.VSDetouredHost.exe 	 6960 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.AnyCPU\ServiceHub.VSDetouredHost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 93.9 MB 	 0%
225 	 ServiceHub.RoslynCodeAnalysisService.exe 	 15688 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.AnyCPU\ServiceHub.RoslynCodeAnalysisService.exe 	 STAKYWS\Smart 	قيد التشغيل 	 295.65 MB 	 0%
226 	 ServiceHub.SettingsHost.exe 	 12008 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 107.86 MB 	 0%
227 	 ServiceHub.IdentityHost.exe 	 8868 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.IdentityHost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 77.23 MB 	 0%
228 	 ServiceHub.Host.CLR.x86.exe 	 11380 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe 	 STAKYWS\Smart 	قيد التشغيل 	 70.26 MB 	 0%
229 	 ServiceHub.Host.CLR.x64.exe 	 7832 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x64\ServiceHub.Host.CLR.x64.exe 	 STAKYWS\Smart 	قيد التشغيل 	 345.41 MB 	 0%
230 	 ServiceHub.Host.CLR.x86.exe 	 17596 	C:\Program Files\Microsoft Visual Studio\2022\Professional\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe 	 STAKYWS\Smart 	قيد التشغيل 	 96.65 MB 	 0%
231 	 audiodg.exe 	 14160 	C:\WINDOWS\system32\AUDIODG.EXE 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 16.41 MB 	 0%
232 	 svchost.exe 	 4180 	C:\WINDOWS\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 12.12 MB 	 0%
233 	 smartscreen.exe 	 15404 	C:\Windows\System32\smartscreen.exe 	 STAKYWS\Smart 	قيد التشغيل 	 38.41 MB 	 0%
234 	 WmiPrvSE.exe 	 5764 	C:\WINDOWS\system32\wbem\wmiprvse.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 9.48 MB 	 0%
235 	 WinRAR.exe 	 12568 	C:\Program Files\WinRAR\WinRAR.exe 	 STAKYWS\Smart 	قيد التشغيل 	 41.89 MB 	 0%
236 	 svchost.exe 	 13448 	C:\WINDOWS\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 22.18 MB 	 0%
237 	 svchost.exe 	 3896 	C:\WINDOWS\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 7.51 MB 	 0%
