قائمة العمليات (تم التحديث):
-------------------------------------------------------------------
الرقم 		|		 اسم العملية 		|		 PID 		|		 المسار 		|		 المستخدم 		|		 الحالة 		|		 الذاكرة 		|		 استخدام المعالج
-------------------------------------------------------------------
1 	 System Idle Process 	 0 	غير 	 غير متاح 	قيد التشغيل 	 0 MB 	 0%
163 	 svchost.exe 	 7840 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
164 	 svchost.exe 	 7840 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
165 	 svchost.exe 	 7840 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
166 	 dllhost.exe 	 8600 	C:\Windows\system32\DllHost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
167 	 dllhost.exe 	 8600 	C:\Windows\system32\DllHost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
168 	 dllhost.exe 	 8600 	C:\Windows\system32\DllHost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
169 	 svchost.exe 	 8720 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
170 	 svchost.exe 	 8720 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
171 	 svchost.exe 	 8720 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
172 	 svchost.exe 	 8812 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
173 	 svchost.exe 	 8812 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
174 	 svchost.exe 	 8812 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
175 	 svchost.exe 	 8880 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
176 	 svchost.exe 	 8880 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
177 	 svchost.exe 	 8880 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
178 	 AggregatorHost.exe 	 9760 	C:\Windows\System32\AggregatorHost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
179 	 AggregatorHost.exe 	 9760 	C:\Windows\System32\AggregatorHost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
180 	 AggregatorHost.exe 	 9760 	C:\Windows\System32\AggregatorHost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
181 	 svchost.exe 	 10048 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
182 	 svchost.exe 	 10048 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
183 	 svchost.exe 	 10048 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
184 	 svchost.exe 	 7176 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
185 	 svchost.exe 	 7176 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
186 	 svchost.exe 	 7176 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
187 	 svchost.exe 	 10884 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
188 	 svchost.exe 	 10884 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
189 	 svchost.exe 	 10884 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
190 	 svchost.exe 	 10000 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
191 	 svchost.exe 	 10000 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
192 	 svchost.exe 	 10000 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
193 	 NisSrv.exe 	 7548 	غير 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
